Waktu,Kecerahan,Temperature,Latitude,Longtitude
6.3364426,16.1000003814697,23.7999992370605,-6.9237185,107.6292171
16.330665565,15.8999996185303,23.7999992370605,-6.9533747434616,107.627381086349
26.325051603,16.2999992370605,23.7999992370605,-6.95340809,107.62741557
36.318787329,16,23.7999992370605,-6.95341677,107.62744337
46.359086231,14.3000001907349,23.7999992370605,-6.953413,107.62744017
49.682003469,11.3000001907349,23.7999992370605,-6.95340579,107.62744774
59.676196121,12.6000003814697,23.7999992370605,-6.95340974,107.6274521
69.718431326,12.6000003814697,23.7999992370605,-6.95340923,107.6274551
79.71236653,11.8000001907349,23.7999992370605,-6.9534074,107.62745382
89.70581361,8.69999980926514,23.7999992370605,-6.95340591,107.62745541
99.749282877,13.1000003814697,23.7999992370605,-6.95340492,107.62746266
109.742427196,14.6000003814697,23.7999992370605,-6.95339294,107.62747218
119.689708755,15.6000003814697,23.7999992370605,-6.95337405,107.62748325
129.680945053,15.8000001907349,24.1000003814697,-6.95335139,107.6274878
139.723150987,14.3999996185303,23.7999992370605,-6.95327052,107.62746536
149.716655462,15.3999996185303,23.7999992370605,-6.95320984,107.62746251
159.711919781,15.6999998092651,24.1000003814697,-6.95316284,107.62746615
169.704265715,16.1000003814697,24.1000003814697,-6.95309712,107.62746147
179.6982792,13.8999996185303,24.1000003814697,-6.95303377,107.62744655
189.691512999,16,24.1000003814697,-6.95296155,107.62743406
199.686008932,16.1000003814697,24.1000003814697,-6.95289699,107.62741252
209.730949918,16.2999992370605,24.1000003814697,-6.95283271,107.62739326
219.721797571,16.2000007629395,24.1000003814697,-6.95276837,107.62737983
229.717663036,14.1000003814697,24.1000003814697,-6.95270906,107.62737175
239.714068865,16.2000007629395,24.1000003814697,-6.95267802,107.62734711
249.702319122,15.3999996185303,24.1000003814697,-6.95263571,107.62732678
259.69747568,16.2999992370605,24.1000003814697,-6.95258545,107.62730909
269.690109999,15.3999996185303,24.3999996185303,-6.95252851,107.62728724
279.733462652,13.8999996185303,24.1000003814697,-6.95244804,107.62726316
289.727187231,15.3000001907349,24.1000003814697,-6.95237254,107.62723037
299.720607696,14.5,24.3999996185303,-6.95229611,107.62719925
309.717793526,13.8000001907349,24.3999996185303,-6.95221647,107.62718129
319.711141335,14.5,24.3999996185303,-6.95215622,107.62715178
329.702305966,15.1000003814697,24.3999996185303,-6.95210313,107.62712355
339.695967056,13.3000001907349,24.3999996185303,-6.9520487,107.62709578
349.738265125,14.6000003814697,24.3999996185303,-6.95199024,107.62706951
359.733090434,10.1000003814697,24.1000003814697,-6.95193974,107.62704545
369.726056368,10.3000001907349,24.3999996185303,-6.95187806,107.62701324
379.719499333,10.1000003814697,24.3999996185303,-6.95182819,107.62698542
389.716487297,16.3999996185303,24.3999996185303,-6.95178868,107.62695641
399.708897346,16.2999992370605,24.3999996185303,-6.95177128,107.62692006
409.702674738,10.8000001907349,24.3999996185303,-6.95175578,107.6268809
419.74277213,10.1999998092651,24.3999996185303,-6.95174722,107.6268331
429.736958428,16.2999992370605,24.3999996185303,-6.95174385,107.6267813
439.730052383,14.6999998092651,24.3999996185303,-6.95174028,107.62672867
449.725124514,10.6000003814697,24.3999996185303,-6.95173996,107.62666804
459.717737427,15.6999998092651,24.3999996185303,-6.95174383,107.62661064
469.711806486,10.8999996185303,24.3999996185303,-6.95174387,107.62657175
479.706244346,13.5,24.3999996185303,-6.95174724,107.62653248
489.749608249,16.8999996185303,24.3999996185303,-6.95178151130676,107.626233100891
499.742191683,16.2999992370605,24.3999996185303,-6.95173413,107.62637477
509.736114908,13.8000001907349,24.3999996185303,-6.95173281,107.62636396
519.732072092,16.2000007629395,24.3999996185303,-6.95173094,107.62635696
529.723363129,15.8000001907349,24.3999996185303,-6.95173514,107.62635664
539.76690823,14.3999996185303,24.3999996185303,-6.95174083,107.62635229
549.711008747,16.5,24.7999992370605,-6.95173652,107.62634446
559.753504837,14.1999998092651,24.3999996185303,-6.95173084,107.62635258
569.74869952,16,24.7999992370605,-6.95173382,107.6263566
579.740941912,8.39999961853027,24.7999992370605,-6.95174702,107.62635365
589.735794617,12.5,24.7999992370605,-6.95174516,107.62635128
