Waktu,Kecerahan,Temperature,Latitude,Longtitude
4.722867081,9.39999961853027,29.2999992370605,-6.8609969,107.57535591
14.76795864,9.5,29.6000003814697,-6.86099693,107.57535562
24.759051813,9.5,29.2999992370605,-6.86099706,107.57535481
34.75306358,9.5,29.6000003814697,-6.86099698,107.5753539
44.746737691,9.5,29.6000003814697,-6.86099629,107.57535306
54.742547635,9.5,29.6000003814697,-6.86099579,107.57535221
64.734504194,9.5,29.6000003814697,-6.86099561,107.57535182
74.728444815,9.5,29.6000003814697,-6.86099521,107.57535199
84.772771061,9.60000038146973,29.6000003814697,-6.86099491,107.57535186
94.764510745,9.60000038146973,29.2999992370605,-6.86099444,107.57534935
104.75864147,9.60000038146973,29.2999992370605,-6.86099431,107.57534841
114.755342664,9.60000038146973,29.6000003814697,-6.86099417,107.57534787
124.747144379,9.60000038146973,29.2999992370605,-6.86099412,107.57534764
134.741360834,9.60000038146973,29.2999992370605,-6.86099401,107.57534809
144.735554268,9.69999980926514,29.2999992370605,-6.86099424,107.57534757
154.776055357,9.69999980926514,29.2999992370605,-6.86099461,107.57534726
164.769591083,9.69999980926514,29.2999992370605,-6.86099484,107.57534589
174.766088267,9.69999980926514,29.2999992370605,-6.86099458,107.57534509
184.756861388,9.80000019073486,29.2999992370605,-6.86099484,107.57534484
194.750606436,9.80000019073486,29.2999992370605,-6.86099452,107.57534395
204.744466172,9.80000019073486,29.2999992370605,-6.86099422,107.57534236
214.738771949,9.80000019073486,29,-6.86099204,107.57533794
224.782437466,9.80000019073486,29.2999992370605,-6.86099011,107.57533566
234.776426785,9.80000019073486,29.2999992370605,-6.86098908,107.57533405
244.769084959,9.89999961853027,29,-6.86098913,107.57533438
254.764055163,9.89999961853027,29,-6.86098913,107.57533462
264.755757451,9.89999961853027,29,-6.86098937,107.57533457
274.75021052,10,29,-6.86098992,107.57533399
284.743219475,10,29,-6.86099013,107.57533363
294.785473533,10,29,-6.86099003,107.57533232
304.779554779,10.1000003814697,28.6000003814697,-6.86099005,107.57533084
314.773229984,10.1000003814697,29,-6.86099018,107.57532974
324.766562272,10.1999998092651,29,-6.86099048,107.57532932
334.763398049,10.1999998092651,29,-6.8609906,107.57532823
344.754313983,10.1999998092651,28.6000003814697,-6.86099067,107.57532734
354.750298719,10.3000001907349,28.6000003814697,-6.86099078,107.57532677
364.792606579,10.3999996185303,28.6000003814697,-6.86099085,107.57532612
374.784741992,10.3999996185303,28.6000003814697,-6.86099091,107.57532552
384.778323811,10.5,28.6000003814697,-6.86099093,107.57532525
394.771624172,10.5,28.6000003814697,-6.8609911,107.57532486
404.765454741,10.5,28.6000003814697,-6.86099125,107.5753245
414.75944229,10.6000003814697,28.2999992370605,-6.86099139,107.57532407
424.752833536,10.6000003814697,28.6000003814697,-6.86099197,107.57532427
434.795526188,10.6999998092651,28.2999992370605,-6.86099212,107.57532451
444.790761914,10.6999998092651,28.2999992370605,-6.86099276,107.57532583
454.782800972,10.6999998092651,28.2999992370605,-6.86099301,107.57532641
464.777069041,10.8000001907349,28.2999992370605,-6.86099269,107.575326
474.770796798,10.8000001907349,28.2999992370605,-6.86099035,107.57532464
484.764781377,10.8000001907349,28,-6.86099007,107.57532351
494.757943353,10.8999996185303,28,-6.86098946,107.57532068
504.80268163,10.8999996185303,28.2999992370605,-6.8609887,107.57531884
514.794675533,10.8999996185303,28,-6.86098885,107.57531787
524.790587873,11,28,-6.86098953,107.57531762
534.781784744,11,28,-6.86099092,107.57531655
544.775914636,11,28,-6.86099242,107.5753151
554.769345778,11.1000003814697,28,-6.86099362,107.57531394
564.763289003,11.1000003814697,28,-6.8609947,107.57531163
574.804245718,11.1000003814697,27.7000007629395,-6.86100133,107.57531074
584.799454933,11.1000003814697,27.7000007629395,-6.86100539,107.57530886
594.795435606,11.1999998092651,27.7000007629395,-6.8610048,107.57530717
604.788443363,11.1999998092651,28,-6.86100465,107.57530646
614.782494661,11.1999998092651,28,-6.86100456,107.57530645
624.774781532,11.1999998092651,27.7000007629395,-6.86100434,107.57530676
634.772031268,11.3000001907349,27.7000007629395,-6.86100336,107.57530782
644.810964337,11.3000001907349,27.7000007629395,-6.86100201,107.57530909
654.804381313,11.3000001907349,27.7000007629395,-6.86100028,107.57531332
664.79781235,11.3999996185303,27.7000007629395,-6.8609995,107.57531591
674.792102711,11.3999996185303,27.2999992370605,-6.86099955,107.57531786
684.787151822,11.3999996185303,27.7000007629395,-6.86099964,107.57531964
694.779971974,11.5,27.7000007629395,-6.8609992,107.5753208
704.771886762,11.5,27.2999992370605,-6.86099862,107.57532115
714.816320456,11.6000003814697,27.2999992370605,-6.86099817,107.57532139
724.80950665,11.6000003814697,27.2999992370605,-6.86099709,107.57532122
734.804998938,11.6000003814697,27.2999992370605,-6.86099538,107.57532077
744.796884351,11.6999998092651,27.2999992370605,-6.86099434,107.5753203
754.791548774,11.6999998092651,27.2999992370605,-6.8609935,107.57531995
764.786542156,11.8000001907349,27.2999992370605,-6.86099306,107.57532033
774.776930069,11.8999996185303,27.2999992370605,-6.86099287,107.57532088
784.819676263,11.8999996185303,27.2999992370605,-6.86099258,107.57532089
794.815683447,12,27.2999992370605,-6.86099259,107.57532092
804.859197037,12.1000003814697,27.2999992370605,-6.86099284,107.5753206
814.802697345,12.1999998092651,27.2999992370605,-6.86099233,107.5753201
824.793860779,12.3000001907349,27,-6.86099165,107.57531945
834.789079265,12.3999996185303,27,-6.86098958,107.57531778
844.783566188,12.3999996185303,27,-6.8609883,107.57531724
854.826585715,12.5,27,-6.86098761,107.57531657
864.820159305,12.6000003814697,27,-6.8609867,107.57531516
874.814722166,12.6999998092651,27,-6.86098623,107.57531392
884.805998569,12.8000001907349,27,-6.86098591,107.57531323
894.800742888,12.8999996185303,27,-6.86098632,107.57531228
904.794118717,12.8999996185303,27,-6.86098678,107.5753121
914.788522932,13,27,-6.86098763,107.5753124
924.83109022,13.1000003814697,27,-6.86098985,107.57531276
934.824827091,13.1000003814697,26.7000007629395,-6.86099074,107.57531312
944.820677869,13.1000003814697,26.7000007629395,-6.86099166,107.57531366
954.814662604,13.1999998092651,26.7000007629395,-6.86099325,107.57531467
964.807491611,13.1999998092651,26.7000007629395,-6.86099409,107.57531535
974.800176868,13.3000001907349,26.7000007629395,-6.86099519,107.57531778
984.792988166,13.3999996185303,26.7000007629395,-6.86099583,107.57531948
994.838143787,13.3999996185303,26.7000007629395,-6.86099586,107.57532147
1004.830073471,13.3999996185303,26.7000007629395,-6.86099532,107.57532127
1014.824033831,13.5,26.7000007629395,-6.86099518,107.57532091
1024.817104349,13.5,26.7000007629395,-6.860995,107.57532091
1034.810892366,13.6000003814697,26.7000007629395,-6.86099478,107.57532133
1044.805093247,13.6000003814697,26.7000007629395,-6.86099448,107.57532142
1054.798528972,13.6999998092651,26.7000007629395,-6.86099426,107.57532094
1064.841091365,13.6999998092651,26.7000007629395,-6.86099336,107.57531912
1074.834003548,13.8000001907349,26.7000007629395,-6.86099325,107.5753178
1084.877697555,13.8000001907349,26.3999996185303,-6.8609939,107.57531755
1094.822664061,13.8999996185303,26.3999996185303,-6.86099397,107.57531719
1104.817570047,13.8999996185303,26.3999996185303,-6.86099363,107.57531659
1114.811906658,13.8999996185303,26.3999996185303,-6.86099343,107.57531685
1124.852083425,14,26.3999996185303,-6.86099313,107.5753168
1134.847359619,14,26.3999996185303,-6.86099292,107.57531696
1144.839538157,14.1000003814697,26.3999996185303,-6.86099272,107.57531726
1154.834107684,14.1000003814697,26.3999996185303,-6.86099258,107.57531757
1164.827033306,14.1999998092651,26.3999996185303,-6.86099209,107.57531797
1174.820432104,14.1999998092651,26.3999996185303,-6.86099169,107.57531837
1184.813296892,14.1999998092651,26.3999996185303,-6.86099105,107.5753179
1194.810529596,14.3000001907349,26.3999996185303,-6.86099016,107.57531719
1204.850944072,14.3000001907349,26.3999996185303,-6.86098882,107.57531736
